cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
1e-6,L2_primal,0.01,0.6006666666666667,0.433,0.7908333333333333,0.25499206946732556,0.3149752670253259,0.22479084268943245,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.6006666666666667,0.433,0.7908333333333333,0.25499206946732556,0.3149752670253259,0.22479084268943245,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.6006666666666667,0.433,0.7908333333333333,0.25499206946732556,0.3149752670253259,0.22479084268943245,L2_Logistic_Regression
0.001,L2_primal,0.01,0.6017777777777777,0.43566666666666665,0.7851666666666667,0.255223129031088,0.313407622057947,0.22893184969731473,L2_Logistic_Regression
0.0025,L2_primal,0.01,0.6041666666666666,0.43766666666666665,0.7808333333333333,0.255066156185552,0.31221174636993554,0.23166902148426188,L2_Logistic_Regression
0.005,L2_primal,0.01,0.6070277777777777,0.4483333333333333,0.7706666666666666,0.25437318297411654,0.31433412990602994,0.23228987027921674,L2_Logistic_Regression
0.01,L2_primal,0.01,0.6144722222222222,0.46066666666666667,0.7533333333333333,0.2537614720101555,0.31778640408214626,0.23437595097409686,L2_Logistic_Regression
0.05,L2_primal,0.01,0.6349166666666667,0.48533333333333334,0.7175,0.25090149412730306,0.32057480105712033,0.24476681517281282,L2_Logistic_Regression
0.1,L2_primal,0.01,0.6448333333333334,0.49666666666666665,0.7025,0.24750762237289808,0.31932836999307085,0.2458900079593531,L2_Logistic_Regression
0.25,L2_primal,0.01,0.6536944444444445,0.501,0.6905,0.24906336796988898,0.3253025585825476,0.2500306705746549,L2_Logistic_Regression
0.5,L2_primal,0.01,0.6588888888888889,0.5043333333333333,0.6808333333333333,0.24614566362445076,0.32527517768155145,0.2500987892099522,L2_Logistic_Regression
1,L2_primal,0.01,0.6635555555555556,0.5113333333333333,0.6708333333333333,0.24854137933031817,0.32364752070352293,0.2504102067696522,L2_Logistic_Regression
10,L2_primal,0.01,0.6696388888888889,0.522,0.6501666666666667,0.2463002339299024,0.3292407410966364,0.2517860383040258,L2_Logistic_Regression
1e-6,L2_primal,0.01,0.7236666666666667,0.6136666666666667,0.68966666666666665,0.2430379339605722,0.36310270728950894,0.26713990240117597,L2_Logistic_Regression
1e-5,L2_primal,0.01,0.7236666666666667,0.6136666666666667,0.68966666666666665,0.2430379339605722,0.36310270728950894,0.26713990240117597,L2_Logistic_Regression
1e-4,L2_primal,0.01,0.7236666666666667,0.6136666666666667,0.68966666666666665,0.2430379339605722,0.36310270728950894,0.26713990240117597,L2_Logistic_Regression
0.001,L2_primal,0.01,0.7263055555555555,0.611,0.68966666666666665,0.24017967462211678,0.3633160506513266,0.2663050738161705,L2_Logistic_Regression
