key	value	rank	sign
Otu076	-1.9999887703086487e-6	1	negative
Otu020	-1.297290013173178e-6	2	negative
Otu004	-1.243554781014697e-6	3	negative
Otu007	-1.2421133695255008e-6	4	negative
Otu012	-1.0812439289481134e-6	5	negative
Otu029	8.225760264979122e-7	6	positive
Otu008	-7.216708247542293e-7	7	negative
Otu006	-5.99410033583551e-7	8	negative
Otu002	-5.513916887213884e-7	9	negative
Otu030	4.999971925771624e-7	10	positive
Otu034	-4.999971925771624e-7	11	negative
Otu039	-4.999971925771624e-7	12	negative
Otu041	-4.999971925771624e-7	13	negative
Otu051	4.999971925771624e-7	14	positive
Otu075	-4.999971925771624e-7	15	negative
Otu025	-4.4029603525451605e-7	16	negative
Otu024	4.0085981818686286e-7	17	positive
Otu021	-3.839264157288925e-7	18	negative
Otu028	-3.7762025733100364e-7	19	negative
Otu013	-2.768579496088419e-7	20	negative
Otu023	-2.4576133194470687e-7	21	negative
Otu009	2.3701165622164187e-7	22	positive
Otu022	2.2191147451428368e-7	23	positive
Otu014	-2.048011099539225e-7	24	negative
Otu019	-1.2217976510344185e-7	25	negative
Otu003	-1.193721167913105e-7	26	negative
Otu037	-9.999943851543246e-8	27	negative
Otu026	-9.374947360821808e-8	28	negative
Otu018	-8.679196550396006e-8	29	negative
Otu015	7.258023763216882e-8	30	positive
Otu005	-5.645129593613115e-8	31	negative
Otu017	-5.208304089345441e-8	32	negative
Otu016	4.863785920011306e-8	33	positive
Otu027	-1.1904695061361007e-8	34	negative
Otu010	6.154925614635538e-9	35	positive
Otu001	-2.0892779104829743e-9	36	negative
Otu011	8.271759680615426e-25	37	positive
Otu031	0	38	zero
Otu032	0	39	zero
Otu033	0	40	zero
Otu035	0	41	zero
Otu036	0	42	zero
Otu038	0	43	zero
Otu040	0	44	zero
Otu042	0	45	zero
Otu043	0	46	zero
Otu044	0	47	zero
Otu045	0	48	zero
Otu046	0	49	zero
Otu047	0	50	zero
Otu048	0	51	zero
Otu049	0	52	zero
Otu050	0	53	zero
Otu052	0	54	zero
Otu053	0	55	zero
Otu054	0	56	zero
Otu055	0	57	zero
Otu056	0	58	zero
Otu058	0	59	zero
Otu060	0	60	zero
Otu061	0	61	zero
Otu062	0	62	zero
Otu063	0	63	zero
Otu065	0	64	zero
Otu066	0	65	zero
Otu068	0	66	zero
Otu069	0	67	zero
Otu070	0	68	zero
Otu071	0	69	zero
Otu073	0	70	zero
Otu074	0	71	zero
Otu079	0	72	zero
Otu080	0	73	zero
Otu082	0	74	zero
Otu083	0	75	zero
Otu084	0	76	zero
Otu085	0	77	zero
Otu087	0	78	zero
Otu088	0	79	zero
Otu091	0	80	zero
Otu095	0	81	zero
Otu097	0	82	zero
Otu102	0	83	zero
Otu105	0	84	zero
Otu106	0	85	zero
Otu112	0	86	zero
Otu113	0	87	zero
Otu008	-2.3385619713457038	1	negative
Otu029	1.9450329695707584	2	positive
Otu014	1.7923487182142037	3	positive
Otu012	-1.7379166412415177	4	negative
Otu028	1.5482910320419905	5	positive
Otu036	-1.4311336965399055	6	negative
Otu010	1.382138834499395	7	positive
Otu051	1.2276597422259572	8	positive
Otu066	-1.2218416029010999	9	negative
Otu020	-1.0855634253059787	10	negative
Otu019	1.006477197549699	11	positive
Otu030	1.0038048384979903	12	positive
Otu025	-0.9832395250802486	13	negative
Otu015	0.9725611973118619	14	positive
Otu018	0.8726236039485596	15	positive
Otu002	-0.8600874598725321	16	negative
Otu009	0.7734104245776745	17	positive
Otu004	0.6934975185338296	18	positive
Otu005	-0.688136854901085	19	negative
Otu003	-0.5707267425404458	20	negative
Otu017	-0.5550254972799297	21	negative
Otu034	-0.5477770448960112	22	negative
Otu085	-0.5477770448960112	23	negative
Otu023	-0.5363986301718351	24	negative
