family	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Betaproteobacteria Unclassified	38.53293413173654	2.9484980395386926e-7	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.005964423658004677	1.0909442746293163e-5
Deferribacteraceae	35.17508798997158	1.388311333491319e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.05249743818807641	0.020369689166819936	0.016054021387845188	1.7122506446392933e-5
Sutterellaceae	36.02889424952995	9.372540504179236e-7	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0.016553246275519587	0.001970624556609475	0	0	1.7122506446392933e-5
Burkholderiales Unclassified	32.16249874664733	5.516876684930874e-6	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	2.627499408812633e-5	0	0	0.013689271919913818	4.082488746848847e-5
Deltaproteobacteria Unclassified	32.169415032112425	5.4994983637216e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.0017866995979925904	4.082488746848847e-5
Desulfovibrionaceae	28.0568971910633	3.547833956125371e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.004782048924038992	0	0.006305998581150319	2.1878309396106455e-4
Enterococcaceae	26.604204853940935	6.811029537169917e-5	5	Kruskal-Wallis rank sum test	0	0	2.627499408812633e-5	0	0.007724848261909141	0.0014451246748469482	3.600115612504099e-4
Bifidobacteriaceae	24.845330117400902	1.4924852417480216e-4	5	Kruskal-Wallis rank sum test	0.0020231745447857274	3.678499172337686e-4	0	2.627499408812633e-5	0	0	6.135772660519643e-4
Porphyromonadaceae	25.097314221352153	1.3343276152504138e-4	5	Kruskal-Wallis rank sum test	0.3095686959720434	0.15234241572295645	2.1019995270501064e-4	0.19401455634672482	0.26402427809453743	0.41821908090070675	6.135772660519643e-4
Rikenellaceae	23.436286052275833	2.785202829249864e-4	5	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0.03815129141595943	5.254998817625266e-5	0.029611918337318376	0	0.02984839328411151	0.0010305250468224496
Bacteroidaceae	20.481408610677985	0.0010146736511932523	5	Kruskal-Wallis rank sum test	0.19047728526761082	0.2185554008250348	0.4249454793872672	0.2370004466748995	3.2186867757954754e-4	0.024383194513781237	0.0034129931903773033
Coriobacteriaceae	17.413373412436528	0.0037790151279184273	5	Kruskal-Wallis rank sum test	0.0020691557844399484	0.0023647494679313696	4.992248876744003e-4	0.001839249586168843	3.2186867757954754e-4	7.094248403794109e-4	0.011651963311081818
