family	statistic	p.value	method	alternative	-1	0	p.value.adj
Bacteroidaceae	0	0.0625	Wilcoxon signed rank test	two.sided	0.30141622218135	0.7178223284899761	0.16477272727272727
Clostridia Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.0019863895530623506	0	0.16477272727272727
Clostridiales Unclassified	15	0.0625	Wilcoxon signed rank test	two.sided	0.032186867757954755	0	0.16477272727272727
Coriobacteriaceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.0016185396358285818	0	0.16477272727272727
Enterococcaceae	0	0.0625	Wilcoxon signed rank test	two.sided	1.4713996689350744e-4	0.09637667831524738	0.16477272727272727
Erysipelotrichaceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.039212801177119734	0.006915578443994851	0.16477272727272727
Lachnospiraceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.17517013058672062	0.001361044693764944	0.16477272727272727
Porphyromonadaceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.26937649439028877	3.678499172337686e-4	0.16477272727272727
Ruminococcaceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.028398013610446936	0.0036417141806143094	0.16477272727272727
Sutterellaceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.027110538900128746	0.014530071730733861	0.16477272727272727
Verrucomicrobiaceae	15	0.0625	Wilcoxon signed rank test	two.sided	0.07162037888541475	7.356998344675372e-5	0.16477272727272727
Anaeroplasmataceae	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0055545337502299055	0	0.20786422481474523
Enterobacteriaceae	0	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.001581754644105205	0.1281221261725216	0.20786422481474523
Unclassified	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.009306602906014346	0	0.20786422481474523
Firmicutes Unclassified	6	0.17356816655592155	Wilcoxon signed rank test with continuity correction	two.sided	0.0018392495861688433	0	0.335565122008115
Clostridiaceae 1	5	0.42267807417063546	Wilcoxon signed rank test with continuity correction	two.sided	3.3106492551039174e-4	3.678499172337686e-5	0.7661040094342768
Deferribacteraceae	7	0.5838824207703652	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-4	2.207099503402612e-4	0.9960347177847406
Alteromonadaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Bacteroidales Unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Caulobacteraceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	7.356998344675372e-5	1
Fusobacteriaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Gp2 Unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Lactobacillaceae	8	1	Wilcoxon signed rank test	two.sided	0.03196615780761449	0.030200478204892404	1
Lactobacillales Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Prevotellaceae	3	1	Wilcoxon signed rank test with continuity correction	two.sided	7.356998344675372e-5	7.356998344675372e-5	1
Pseudomonadaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Rhizobiaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-5	0	1
Staphylococcaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Veillonellaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	3.678499172337686e-5	1
Acetobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Acidaminococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Actinomycetales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Aerococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alphaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillaceae 1	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacilli Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacteroidetes Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Betaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bifidobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bradyrhizobiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Brevibacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
