family	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Peptostreptococcaceae	67.9781203377602	1.0875849293107519e-10	10	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0.06219291100659503	0.02228557415241248	0.0027588743792532648	3.9412491132189494e-4	0	1.0509997635250532e-4	0	0	0	4.676615196036233e-9
Enterobacteriaceae	63.56674840928641	7.613398008460976e-10	10	Kruskal-Wallis rank sum test	4.368217767151002e-4	0.756667279749862	0.5494101263827216	0.15839004352890687	0.08662865550855252	0.008434273102288552	8.046716939488688e-4	8.670748049081689e-4	1.6348885210389717e-4	5.057936361964318e-4	6.539554084155887e-4	1.63688057181911e-8
Firmicutes unclassified	54.64741277696923	3.674921040649705e-8	10	Kruskal-Wallis rank sum test	0.0018162589663417326	4.5981239654221075e-5	0	6.130831953896143e-5	2.299061982711054e-4	0.0022596494915788643	0.00983998528600331	0.004072624083659581	0.004802485030551979	0.001195512231009748	0.0026566938466883287	5.267386824931244e-7
Lachnospiraceae	53.86135399225967	5.149465985977194e-8	10	Kruskal-Wallis rank sum test	0.1795567408497333	7.356998344675372e-4	0.004177724060012086	0.05382870455520814	0.062810373367666	0.16989411177382485	0.28827938201213904	0.3220000525499882	0.24480411991907303	0.15587640242780945	0.22502196881450146	5.535675934925483e-7
Rikenellaceae	51.5838448715161	1.3624369407392436e-7	10	Kruskal-Wallis rank sum test	0.13403531359205445	4.5981239654221075e-5	0	0	2.528968180982159e-4	0.00701542342152973	0.008161670038624242	0.03815129141595943	0.06537510473504587	0.0656612102262277	0.1122555330758384	1.1716957690357494e-6
Bifidobacteriaceae	50.11445413888185	2.542787266403144e-7	10	Kruskal-Wallis rank sum test	0.007494942063638036	0	0.004755773929950866	0.04334498191404573	0.01574857458157072	0.0034945742137208018	0.001402427809453743	3.678499172337686e-4	2.8610549118182003e-4	0.0010115872723928637	0.0014918357754480616	1.8223308742555866e-6
Clostridia unclassified	49.16301800034741	3.8024018554594e-7	10	Kruskal-Wallis rank sum test	5.747654956777635e-4	0	0	0	1.3794371896266324e-4	0.0011823747339656848	0.0024140150818466066	0.0026800493969888857	0.002350152248993522	0.0027128931395990438	0.0011648580712402673	2.335761139782203e-6
Coriobacteriaceae	47.823230642559096	6.685363010742464e-7	10	Kruskal-Wallis rank sum test	0.0027588743792532648	1.839249586168843e-4	2.1019995270501064e-4	3.065415976948072e-4	5.51774875850653e-4	0.0014713996689350744	0.0016323340077248481	0.0023647494679313696	0.00100136921913637	0.0020691557844399484	0.0014713996689350744	3.593382618274074e-6
Clostridiales unclassified	46.054629075404215	1.4019218618187101e-6	10	Kruskal-Wallis rank sum test	0.021634173257311016	4.5981239654221075e-5	0	3.0654159769480714e-5	0.002643921280117712	0.006778948474736593	0.0029198087180430385	0.007619748285556636	0.013079108168311773	0.0033106492551039177	0.008235750924733819	6.698071117578282e-6
Lactobacillaceae	44.86246415410679	2.302551153570344e-6	10	Kruskal-Wallis rank sum test	0.056970755931579915	0.23025105756851205	0.20281667936624714	0.10180246459444546	0.08715743976457606	0.09606137838618986	0.05041842928085341	0.028849943508762712	0.03754112766435739	0.032140886518300535	0.05493225430690945	9.900969960352478e-6
Ruminococcaceae	42.17074260676251	6.991841258230925e-6	10	Kruskal-Wallis rank sum test	0.029405002758874376	0.0080697075593158	0.019758795554271	0.010882226718165655	0.017886702225491997	0.02711579389894637	0.051866838329961376	0.06668593499566462	0.06427155498334457	0.040831340812948314	0.03907383565283142	2.7331743100357252e-5
Anaeroplasmataceae	41.54105565939192	9.047986059458584e-6	10	Kruskal-Wallis rank sum test	0.0010345778922199742	0	0	0	4.368217767151002e-4	0.0026537744029007594	0.008299613757586904	0.010562547623426784	0.007520487196779269	0.0018392495861688431	0.001798377373142869	3.242195004639326e-5
Verrucomicrobiaceae	40.322112657287754	1.4868392737485534e-5	10	Kruskal-Wallis rank sum test	0.10952731285635461	1.6093433878977377e-4	0.03289629259833417	0.27619397952302127	0.19834007724848263	0.21668987624477784	0.13019588008092697	0.12890512099634777	0.07918991273782519	0.11660842376310464	0.17323687491059203	4.918006828552907e-5
Porphyromonadaceae	39.140171547771615	2.3992909296428294e-5	10	Kruskal-Wallis rank sum test	0.37357458157071916	7.586904542946477e-4	9.196247930844216e-4	3.678499172337686e-4	0.03892311936729814	0.15814918941643238	0.13180522346882473	0.15234241572295645	0.20705863118958576	0.18571822696339893	0.19167024298530644	7.369250712474405e-5
