genus	statistic	p.value	method	alternative	-1	0	p.value.adj
Lactobacillus	91	2.4414062500000016e-4	Wilcoxon signed rank test	two.sided	0.042823861197964566	0.09248797919020468	0.010498046875000007
Bacteroides	78	0.0025261742685021692	Wilcoxon signed rank test with continuity correction	two.sided	0.1053890012874747	0.007908773220526025	0.021725098709118654
Enterobacteriaceae unclassified	78	0.0024304220965479335	Wilcoxon signed rank test with continuity correction	two.sided	2.758874379253265e-4	0.8783467773719751	0.021725098709118654
Lachnospiraceae unclassified	91	0.0016345757202903396	Wilcoxon signed rank test with continuity correction	two.sided	0.09735761142787076	0.0011560997398775586	0.021725098709118654
Turicibacter	78	0.002516496563841506	Wilcoxon signed rank test with continuity correction	two.sided	0.01704371283183128	0.0012349247221419375	0.021725098709118654
Clostridium IV	55	0.005729376404626987	Wilcoxon signed rank test with continuity correction	two.sided	3.985040770032493e-4	0.0017866995979925904	0.03637515600548492
Porphyromonadaceae unclassified	55	0.0059215370241487075	Wilcoxon signed rank test with continuity correction	two.sided	0.6408558641407639	0.0027588743792532648	0.03637515600548492
Erysipelotrichaceae unclassified	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.002820182698792226	3.4157492314564226e-4	0.04343333496497526
Ruminococcaceae unclassified	45	0.009090698015925056	Wilcoxon signed rank test with continuity correction	two.sided	0.009165593771074735	2.8902493496938965e-4	0.04343333496497526
Akkermansia	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.016062779719207897	2.627499408812633e-4	0.05373631458696308
Anaeroplasma	36	0.013098342187735814	Wilcoxon signed rank test with continuity correction	two.sided	0.0012874747103181902	7.882498226437898e-5	0.05373631458696308
Bifidobacterium	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	0.0016859787873214397	1.57649964528758e-4	0.05373631458696308
Clostridiales unclassified	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.015081846606584513	2.627499408812633e-5	0.05373631458696308
Clostridium XlVa	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	0.0033106492551039177	2.627499408812633e-5	0.05373631458696308
Coriobacteriaceae unclassified	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	6.437373551590951e-4	7.882498226437898e-5	0.05373631458696308
Enterorhabdus	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844216e-4	2.627499408812633e-5	0.05373631458696308
Firmicutes unclassified	28	0.021539452429296765	Wilcoxon signed rank test with continuity correction	two.sided	0.001410091349396113	2.627499408812633e-5	0.05373631458696308
Unclassified	36	0.014147403886021537	Wilcoxon signed rank test with continuity correction	two.sided	0.006590644350438354	0.012638272156388764	0.05373631458696308
Acetatifactor	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.002850836858561707	0	0.0704255685174565
Butyricicoccus	21	0.03501498101966251	Wilcoxon signed rank test with continuity correction	two.sided	3.985040770032493e-4	5.254998817625266e-5	0.0704255685174565
Clostridium XlVb	21	0.03501498101966251	Wilcoxon signed rank test with continuity correction	two.sided	6.743915149285758e-4	0	0.0704255685174565
Oscillibacter	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.002850836858561707	2.627499408812633e-5	0.0704255685174565
Clostridia unclassified	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	4.2915823677273e-4	0	0.103750517205991
Olsenella	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	3.985040770032493e-4	2.627499408812633e-5	0.103750517205991
Parabacteroides	10	0.08897301170181335	Wilcoxon signed rank test with continuity correction	two.sided	1.532707988474036e-4	2.627499408812633e-5	0.15303358012711896
Alistipes	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.021519220158175464	2.627499408812633e-5	0.16596056145686552
Bacteroidales unclassified	6	0.1814492077214203	Wilcoxon signed rank test with continuity correction	two.sided	0.006406719391821469	0	0.28897466414892864
Dorea	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	6.130831953896143e-5	0	0.4956159734833297
Enterococcus	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	5.254998817625266e-5	0.4956159734833297
Pseudomonadaceae unclassified	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	5.254998817625266e-5	0.4956159734833297
