genus	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Coriobacteriaceae unclassified	16.55445544554456	2.5424105062445926e-4	2	Kruskal-Wallis rank sum test	5.057936361964318e-4	0	0	0.006968621112753028
Enterorhabdus	16.410032715376232	2.7327925932364814e-4	2	Kruskal-Wallis rank sum test	6.207467353319846e-4	0	0	0.006968621112753028
Clostridia unclassified	13.330035971223015	0.0012747336991334342	2	Kruskal-Wallis rank sum test	0.0026209306602906013	0	2.452332781558457e-4	0.015663010455080433
Peptostreptococcaceae unclassified	13.521897810219002	0.0011581296971504445	2	Kruskal-Wallis rank sum test	0	0	0.024860523573048864	0.015663010455080433
Proteus	12.957682177348554	0.0015355892603020032	2	Kruskal-Wallis rank sum test	9.656060327386426e-4	0.5392311936729814	0.268714364539268	0.015663010455080433
Clostridium XlVa	11.825499092558985	0.00270473984670428	2	Kruskal-Wallis rank sum test	2.758874379253265e-4	2.942799337870149e-4	0.015449696523818283	0.02299028869698638
Porphyromonadaceae unclassified	10.631618334892423	0.004913301462819209	2	Kruskal-Wallis rank sum test	5.057936361964318e-4	4.7820489240389924e-4	0	0.03579691065768281
Enterococcus	9.985588235294122	0.006786675206476302	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0.05510391760161854	0.019465391453620254	0.04103439393221675
Lachnospiraceae unclassified	9.851578947368424	0.007256994811260827	2	Kruskal-Wallis rank sum test	0.3774829869413279	0.0680522346882472	0.07602231622831218	0.04103439393221675
Oscillibacter	9.64517045454546	0.008045959594552305	2	Kruskal-Wallis rank sum test	0.0038624241309545707	7.356998344675372e-5	0.0013181288700876708	0.04103439393221675
Mucispirillum	9.014814814814809	0.011027011697427858	2	Kruskal-Wallis rank sum test	0.0342560235423947	0.016332536325179326	0.0035558825332597634	0.05112523605171098
Akkermansia	8.325000000000003	0.015568587758182062	2	Kruskal-Wallis rank sum test	0.07255839617436086	0.003494574213720802	0.06474158543314328	0.061076767359021934
Pseudoflavonifractor	8.47823741007194	0.014420294777941552	2	Kruskal-Wallis rank sum test	0.0025749494206363803	3.678499172337686e-5	4.904665563116914e-4	0.061076767359021934
Eisenbergiella	7.204162132752994	0.027266919093502096	2	Kruskal-Wallis rank sum test	0.00427625528784256	0	1.532707988474036e-4	0.09932949098347192
Anaerostipes	6.465562719812447	0.039447628013192376	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	0	0.0020844828643246886	0.129310393693377
Clostridium XlVb	6.409553045186644	0.04056796664890259	2	Kruskal-Wallis rank sum test	0.001747287106860401	3.678499172337686e-5	5.824290356201337e-4	0.129310393693377
Clostridiales unclassified	6.165	0.04584450201048783	2	Kruskal-Wallis rank sum test	0.025749494206363802	0.0030899393047636565	0.010790264238857213	0.12989275569638217
Parabacteroides	6.227368421052631	0.04443693835320369	2	Kruskal-Wallis rank sum test	0.34862975905830423	0.1092146404267059	0.37784317331861933	0.12989275569638217
Acetatifactor	5.3231516587677685	0.06983808208492767	2	Kruskal-Wallis rank sum test	0.002207099503402612	1.4713996689350744e-4	0.0010115872723928637	0.18746011507006902
Dorea	5.167485265225929	0.07549093979728942	2	Kruskal-Wallis rank sum test	0.0015633621482435166	4.782048924038992e-4	3.9850407700324936e-4	0.19250189648308802
Anaerofustis	4.862673010380619	0.08791924949139619	2	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0	2.4523327815584577e-4	0.19547589574221746
Bacteroides	4.632649253731342	0.09863544227250326	2	Kruskal-Wallis rank sum test	2.299061982711054e-4	0.001066764759977929	0.004199619888418858	0.19547589574221746
Clostridium XVIII	4.623387096774195	0.09909329009274549	2	Kruskal-Wallis rank sum test	0.0014254184292808534	0.001361044693764944	0.004383544847035742	0.19547589574221746
Enterobacteriaceae unclassified	4.61209459459459	0.09965437822152264	2	Kruskal-Wallis rank sum test	4.598123965422108e-4	0.002170314511679235	0.001410091349396113	0.19547589574221746
Ruminococcaceae unclassified	4.645917471466206	0.09798324976033469	2	Kruskal-Wallis rank sum test	0.02223192937281589	0.012985102078352032	0.012813438783642939	0.19547589574221746
Unclassified	4.85241208295762	0.08837147508200159	2	Kruskal-Wallis rank sum test	0.006920176567960272	0.0030899393047636565	0.009962601925081234	0.19547589574221746
Firmicutes unclassified	3.162058823529405	0.20576317411284684	2	Kruskal-Wallis rank sum test	0.007173073386058488	0.002538164428913003	0.00720372754582797	0.3886637733242662
Bacilli unclassified	2.7999999999999634	0.24659696394161099	2	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0.3930139112819425
Bacteroidales unclassified	2.7999999999999634	0.24659696394161099	2	Kruskal-Wallis rank sum test	0	2.207099503402612e-4	0	0.3930139112819425
Butyricicoccus	2.902777777777788	0.2342447221667839	2	Kruskal-Wallis rank sum test	2.0691557844399486e-4	0	0	0.3930139112819425
Chitinophagaceae unclassified	2.7999999999999634	0.24659696394161099	2	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0.3930139112819425
Geobacillus	2.7999999999999634	0.24659696394161099	2	Kruskal-Wallis rank sum test	0	3.678499172337686e-5	0	0.3930139112819425
Anaerotruncus	2.166666666666685	0.3384654251067391	2	Kruskal-Wallis rank sum test	0	0	3.0654159769480714e-5	0.4872444462835681
Asaccharobacter	2.166666666666685	0.3384654251067391	2	Kruskal-Wallis rank sum test	0	0	9.196247930844216e-5	0.4872444462835681
Lactobacillus	2.109210526315792	0.3483298988161468	2	Kruskal-Wallis rank sum test	0.07688063270185765	0.16829133713444916	0.0766353994237018	0.4872444462835681
Parasutterella	2.166666666666685	0.3384654251067391	2	Kruskal-Wallis rank sum test	0	0	9.196247930844216e-5	0.4872444462835681
Turicibacter	2.0797941176470656	0.35349106887239257	2	Kruskal-Wallis rank sum test	1.1495309913555268e-4	7.356998344675372e-5	0.00211513702409417	0.4872444462835681
Clostridium IV	1.939417989417985	0.37919336932592435	2	Kruskal-Wallis rank sum test	0.0025289681809821593	0.009233032922567592	0.002636257740175342	0.49618168634789517
Erysipelotrichaceae unclassified	1.938154205607484	0.37943305426603746	2	Kruskal-Wallis rank sum test	6.667279749862056e-4	2.57494942063638e-4	4.2915823677273e-4	0.49618168634789517
Alishewanella	1.374999999999981	0.5028315779709458	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0.5456257548195369
Blautia	1.4964664310954021	0.4732018603091095	2	Kruskal-Wallis rank sum test	2.528968180982159e-4	3.678499172337686e-5	3.678499172337686e-4	0.5456257548195369
Cloacibacterium	1.374999999999981	0.5028315779709458	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0.5456257548195369
Geodermatophilus	1.374999999999981	0.5028315779709458	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0.5456257548195369
Prevotella	1.374999999999981	0.5028315779709458	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0.5456257548195369
Prevotellaceae unclassified	1.374999999999981	0.5028315779709458	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0.5456257548195369
Ruminococcus	1.5407407407407605	0.46284161374243266	2	Kruskal-Wallis rank sum test	0	7.356998344675372e-5	0.0023297161424805347	0.5456257548195369
Staphylococcus	1.374999999999981	0.5028315779709458	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	0	0.5456257548195369
Pseudomonadaceae unclassified	1.0777777777777844	0.5833961102865916	2	Kruskal-Wallis rank sum test	9.196247930844215e-5	3.678499172337686e-5	0	0.6198583671795035
Anaeroplasma	1.020077720207253	0.6004722439452467	2	Kruskal-Wallis rank sum test	4.5981239654221075e-5	0.0022438844951259886	0.00726503586536693	0.6249813151266853
Pseudomonas	0.8161764705882454	0.6649202068039531	2	Kruskal-Wallis rank sum test	2.2990619827110538e-5	0	3.0654159769480714e-5	0.6782186109400322
Alistipes	0.13750000000000448	0.9335600409171089	2	Kruskal-Wallis rank sum test	4.5981239654221075e-5	1.4713996689350744e-4	3.0654159769480714e-5	0.9335600409171089
Acetitomaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acidaminococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Acinetobacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Actinomycetales unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Adhaeribacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Alphaproteobacteria unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerococcus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Anaerovorax	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Aquabacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacillales unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacillus	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bacteroidetes unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Barnesiella	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Betaproteobacteria unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bifidobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bilophila	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Brachybacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Bradyrhizobium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Brevibacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Brevundimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Burkholderia	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Burkholderiales unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Butyricimonas	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Candidatus Saccharibacteria unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Catabacter	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
Chryseobacterium	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	0	NaN
