genus	statistic	p.value	parameter	method	-1	0	1	2	3	4	5	6	7	8	9	p.value.adj
Peptostreptococcaceae unclassified	57.49930644901896	1.0739175375294177e-8	10	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0.08600790877322052	0.046643369505241866	0.018786620773010326	4.992248876744003e-4	6.130831953896143e-5	0.002601224414724507	1.0509997635250532e-4	0	0.001366299692582569	8.913515561494167e-7
Enterococcus	48.847930496669555	4.3431016990709394e-7	10	Kruskal-Wallis rank sum test	0.005097348853096508	0.13668689841211454	0.040486481515541656	0.022880264851940408	0.0031529992905751595	0.0012874747103181902	4.2915823677273007e-4	0.0014451246748469482	0.001681599621640085	1.839249586168843e-4	0.002154549515226359	1.8023872051144397e-5
Desulfovibrio	46.308138997708646	1.2611428453629366e-06	10	Kruskal-Wallis rank sum test	6.30599858115032e-4	0	0	0	1.0509997635250532e-4	0.0019443495625213485	0.003893078290724051	0.0031529992905751595	0.0036259491841614338	0.0054257862791980875	0.0023910244620194963	2.7179153842291704e-5
Desulfovibrionaceae unclassified	46.21741217412175	1.309838739387552e-6	10	Kruskal-Wallis rank sum test	0.004965973882655877	0	0	0	1.0509997635250532e-4	6.305998581150319e-4	0.0028814910183311876	0.0031529992905751595	0.005412648782154024	0.0093801728894611	0.003967524107307076	2.7179153842291704e-5
Mucispirillum	40.15974332262639	1.5881565795189403e-5	10	Kruskal-Wallis rank sum test	0.012401797209595628	3.6784991723376866e-4	0	0	0.0020231745447857274	0.037074016658346254	0.042639936239347684	0.016054021387845188	0.021309020205470455	0.0333823799889645	0.01668462124596022	2.636339922001441e-4
Enterorhabdus	39.37938849960267	2.178373139231706e-5	10	Kruskal-Wallis rank sum test	4.992248876744003e-4	0	0	3.678499172337686e-5	1.3137497044063165e-4	8.145248167319162e-4	8.276623137759794e-4	5.51774875850653e-4	0.001103549751701306	0.0013794371896266324	0.0012874747103181902	3.0134161759371933e-4
Acetatifactor	38.15972137420117	3.559710819750498e-5	10	Kruskal-Wallis rank sum test	0.003100449302398907	0	2.2990619827110538e-5	2.57494942063638e-4	5.780498699387793e-4	0.001839249586168843	0.007908773220526025	0.006857773457000972	0.006200898604797813	0.015633621482435165	0.006673848498384088	4.2207999719898767e-4
Akkermansia	36.621368135376756	6.57937639931797e-5	10	Kruskal-Wallis rank sum test	0.04353766520402533	4.2915823677273007e-4	0.0060695236343571825	0.025013794371896266	0.08505215586326492	0.13176909535195355	0.09499724112562075	0.14503796736645735	0.16392968811582018	0.15629023358469743	0.23045797314695604	6.826103014292394e-4
Coriobacteriaceae unclassified	35.237933110085756	1.1371144230745574e-4	10	Kruskal-Wallis rank sum test	3.4157492314564226e-4	0	2.2990619827110538e-5	3.678499172337686e-5	2.627499408812633e-5	1.3137497044063165e-4	7.050456746980565e-4	1.3137497044063165e-4	2.890249349693896e-4	4.138311568879897e-4	4.992248876744003e-4	0.0010486721901687584
Parabacteroides	34.21541149502408	1.6980304082308114e-4	10	Kruskal-Wallis rank sum test	0.081321106702751	2.452332781558457e-4	0.30455674084973333	0.3369873091778554	0.4133844819884916	0.18266375890065426	0.16234443013916988	0.16209043852965133	0.14411834257337292	0.1451167923487217	0.19493418113980926	0.0014093652388315735
Pseudoflavonifractor	32.08974637996575	3.868778380120186e-4	10	Kruskal-Wallis rank sum test	0.001839249586168843	0	2.2990619827110538e-5	1.4713996689350744e-4	7.619748285556635e-4	0.001681599621640085	0.0023910244620194963	0.001918074568433222	0.001602774639375706	0.0036325179326834652	8.407998108200425e-4	0.0029191691413634133
Oscillibacter	30.33129756192139	7.559991270219467e-4	10	Kruskal-Wallis rank sum test	0.0026800493969888857	0	0	0	2.627499408812633e-5	3.678499172337686e-4	0.0017166329470909203	0.0026012244147245065	7.356998344675372e-4	0.002804855618907486	9.984497753488006e-4	0.005228993961901798
Clostridia unclassified	28.048952832359856	0.0017729539289999938	10	Kruskal-Wallis rank sum test	9.984497753488006e-4	0	0	2.57494942063638e-4	5.780498699387793e-4	0.001970624556609475	0.004168965728649378	0.001918074568433222	0.0018129745920807167	5.51774875850653e-4	3.678499172337686e-4	0.009810345073799966
Odoribacter	28.21970742478598	0.001664628551179211	10	Kruskal-Wallis rank sum test	0.0027588743792532648	0	0	0	0	0	0	0	0	0	0	0.009810345073799966
Prevotellaceae unclassified	28.21970742478598	0.001664628551179211	10	Kruskal-Wallis rank sum test	0.06778948474736593	0	0	0	0	0	0	0	0	0	0	0.009810345073799966
Firmicutes unclassified	27.543845914368365	0.002134885254504656	10	Kruskal-Wallis rank sum test	0.0018129745920807169	0	0	6.253448592974066e-4	1.3137497044063165e-4	7.619748285556635e-4	0.003893078290724051	4.203999054100213e-4	0.0011823747339656848	6.897185948133162e-4	0.004387924012717097	0.010423263301405087
Porphyromonadaceae unclassified	27.67424089466189	0.0020351348475379488	10	Kruskal-Wallis rank sum test	0.3053417062981161	2.758874379253265e-4	3.2186867757954754e-4	0.0060695236343571825	0.04708478940592238	0.11718647363304344	0.14395193427748146	0.2561286423710555	0.2460915946293912	0.17675188523082583	0.17633148532541582	0.010423263301405087
Lachnospiraceae unclassified	25.573209813392403	0.004358646297889879	10	Kruskal-Wallis rank sum test	0.11781707349115847	0.023818282140886517	0.04476273680338422	0.04406842008460548	0.06374313565779448	0.1588848892508999	0.282937894672307	0.14737644184030058	0.15539031503717912	0.27432407577708295	0.13027142068893036	0.02009820237360333
Enterobacteriaceae unclassified	22.39194741051112	0.013227746203592636	10	Kruskal-Wallis rank sum test	0.17168081137181743	0.44742811599534055	0.2611274599963215	0.10171050211513702	0.10483722641162406	0.06970755931579915	7.050456746980566e-4	0.04193489056464962	0.04527181481384167	0.0034945742137208018	0.03244961769883602	0.05778436499464151
Alishewanella	21.976190476190332	0.015226355613030295	10	Kruskal-Wallis rank sum test	0	9.196247930844215e-5	0	0	0	0	0	0	0	0	0	0.06318937579407573
Deltaproteobacteria unclassified	20.6290150264918	0.02383425446304085	10	Kruskal-Wallis rank sum test	0.0012349247221419375	0	0.0025289681809821593	0.002133529519955858	0.0052549988176252655	0.0034682992196326755	0.004628778125191588	0.0017866995979925904	7.8824982264379e-4	0.0018392495861688431	0.004782048924038993	0.09420205335392337
Clostridium XlVa	20.312966626734916	0.026427711652560193	10	Kruskal-Wallis rank sum test	0.0016553246275519589	0	4.5981239654221075e-5	1.839249586168843e-4	0.002207099503402612	0.004965973882655877	0.015449696523818283	0.008434273102288552	0.008618198060905436	0.00892036049291889	0.003809874142778318	0.09970454850738619
Anaerotruncus	18.550724637681085	0.04635448469196372	10	Kruskal-Wallis rank sum test	5.254998817625266e-5	0	0	0	0	0	0	0	0	0	0	0.1385662758162454
Betaproteobacteria unclassified	18.744308669970053	0.04363314344989318	10	Kruskal-Wallis rank sum test	0.0062534485929740665	0.03454723806020477	0.03538256391392312	0.023652749678131323	0.0030741743083107804	7.356998344675372e-4	0.002053828704555208	0.005964423658004677	0.006332273575238446	0.005563729998160751	0.007829948238261646	0.1385662758162454
Butyricicoccus	18.972088276437226	0.04061863914751235	10	Kruskal-Wallis rank sum test	6.568748522031582e-4	0	4.5981239654221075e-5	1.4713996689350744e-4	1.0509997635250532e-4	7.882498226437899e-4	0.001195512231009748	4.7294989358627395e-4	1.57649964528758e-4	5.51774875850653e-4	4.203999054100213e-4	0.1385662758162454
Clostridium XlVb	18.523783995370838	0.046745249672950254	10	Kruskal-Wallis rank sum test	0.0023384744738432434	0	2.758874379253265e-4	0	6.30599858115032e-4	0.001366299692582569	0.002268407822941573	0.0010247247694369268	0.003100449302398907	0.0010115872723928637	0.001681599621640085	0.1385662758162454
Dorea	18.546938775510146	0.04640921680464245	10	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0	0	0	0	0	0	0	0	0.1385662758162454
Eisenbergiella	18.546938775510146	0.04640921680464245	10	Kruskal-Wallis rank sum test	7.882498226437898e-5	0	0	0	0	0	0	0	0	0	0	0.1385662758162454
Ruminococcaceae unclassified	17.556290070826773	0.06292583703535665	10	Kruskal-Wallis rank sum test	0.01431987177802885	0.0015327079884740358	0.004322236527496782	0.015743976457605297	0.009774297800782995	0.016132846370109567	0.031083318006253448	0.020415670406474157	0.019863895530623506	0.02818649990803752	0.016737171234136473	0.1800980853080897
Clostridiales unclassified	17.10519414899623	0.0720684685199145	10	Kruskal-Wallis rank sum test	0.007698573267821015	9.196247930844214e-4	0.001149530991355527	0.004818833915762369	0.0030741743083107804	0.003599674190073307	0.01241493470663969	0.012559447174124386	0.016343046322814577	0.020231745447857274	0.014713996689350745	0.19938942957176345
Megasphaera	16.749999999999787	0.08008214289169914	10	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	4.5981239654221075e-5	0	0.21441347935519445
Blautia	16.360124542824217	0.08977708689859412	10	Kruskal-Wallis rank sum test	0.010615097611603038	0	0.0014943902887621851	2.942799337870149e-4	0.011140597493365564	0.008723298037257942	3.0654159769480714e-5	0.013768096902178195	0.012585722168212512	9.196247930844215e-5	0.013557896949473187	0.22580297613888825
Unclassified	16.38753041142748	0.08906332655146425	10	Kruskal-Wallis rank sum test	0.002154549515226359	0	6.667279749862056e-4	1.4713996689350744e-4	3.6784991723376866e-4	4.203999054100213e-4	8.583164735454601e-4	3.4157492314564226e-4	7.094248403794109e-4	0.0011955122310097481	8.145248167319162e-4	0.22580297613888825
Anaeroplasma	15.963577055965615	0.1006798067880373	10	Kruskal-Wallis rank sum test	7.8824982264379e-5	0	0	0	0.005990698652092803	0.0022596494915788643	0.003739807491876648	0.002785149373341391	0.001996899550697601	0.006023542394702961	0.005360098793977771	0.23875497038305987
Burkholderiales unclassified	16.029055849204354	0.09880365899768256	10	Kruskal-Wallis rank sum test	0.00916997293675609	0.014805959168659188	0.03149714916314144	0.04980687879345227	0.020941170288236687	0.027904043721590163	0.017687450186990375	0.013689271919913818	0.009958222759399879	0.006713260989516277	0.018839170761186578	0.23875497038305987
Bacteroidales unclassified	14.822480620155025	0.13866917570767776	10	Kruskal-Wallis rank sum test	0.011271972463806195	3.0654159769480714e-5	0	0	3.15299929057516e-4	2.627499408812633e-4	9.809331126233829e-4	0.002207099503402612	0.0017866995979925904	0	0.0013137497044063164	0.3197094884371459
Bacteroides	14.361520364085175	0.15713092432316958	10	Kruskal-Wallis rank sum test	0.025749494206363802	6.130831953896144e-4	0.06090215192201582	0.07176751885230827	0.04973856380882315	0.027404818833915764	0.03059285144994176	0.024383194513781237	0.027641293780708898	4.5981239654221075e-5	0.015239496571113271	0.3260466679705769
