otu	statistic	p.value	method	alternative	p.value.adj
Akkermansia (OTU 4)	703	1.1878111718723648e-07	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Lactobacillus (OTU 6)	741	8.041513571420378e-8	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Lachnospiraceae (OTU 28)	741	8.000736107172705e-8	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Ruminococcaceae (OTU 37)	666	1.7311838766294715e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Ruminococcaceae (OTU 66)	703	1.1525270923247095e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Acetatifactor (OTU 70)	666	1.7176377776791013e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.591005202022109e-5
Lachnospiraceae (OTU 107)	630	2.50192379007046e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.808409454354091e-5
Lachnospiraceae (OTU 117)	630	2.4571096981882073e-7	Wilcoxon signed rank test with continuity correction	two.sided	2.808409454354091e-5
Lachnospiraceae (OTU 9)	595	3.8191520023814874e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1178168164896144e-5
Lachnospiraceae (OTU 68)	595	3.778328056990125e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1178168164896144e-5
Lachnospiraceae (OTU 78)	595	3.679698496523229e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1178168164896144e-5
Lachnospiraceae (OTU 17)	561	5.61845755522739e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Oscillibacter (OTU 40)	561	5.488676969192756e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Lachnospiraceae (OTU 50)	561	5.491533088047613e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Lachnospiraceae (OTU 122)	561	5.400760522073422e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Enterorhabdus (OTU 156)	561	5.286322538979801e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.1533593028713726e-5
Enterobacteriaceae (OTU 1)	528	7.275032041915805e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Ruminococcaceae (OTU 55)	528	8.192384900891429e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Ruminococcaceae (OTU 84)	528	8.106775539202301e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Clostridiales (OTU 123)	528	7.732974703550061e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Lachnospiraceae (OTU 151)	528	7.767523321775546e-7	Wilcoxon signed rank test with continuity correction	two.sided	3.5032198290478586e-5
Lactobacillus (OTU 18)	496	1.232989270728632e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Lachnospiraceae (OTU 42)	496	1.2228921126382427e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Clostridia (OTU 86)	496	1.201488897055184e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Lachnospiraceae (OTU 116)	496	1.1859938836434019e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Lachnospiraceae (OTU 134)	496	1.1909058043558932e-6	Wilcoxon signed rank test with continuity correction	two.sided	4.2585552504396604e-5
Lachnospiraceae (OTU 13)	465	1.8185196749587937e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.443435560376656e-5
Clostridium (OTU 61)	465	1.761141152790257e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.443435560376656e-5
Oscillibacter (OTU 77)	465	1.7456572964956512e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.443435560376656e-5
Lachnospiraceae (OTU 105)	465	1.771155470867715e-6	Wilcoxon signed rank test with continuity correction	two.sided	5.443435560376656e-5
Lachnospiraceae (OTU 126)	435	2.5989680075313668e-6	Wilcoxon signed rank test with continuity correction	two.sided	7.528623454074734e-5
Lachnospiraceae (OTU 44)	406	3.9431842446395825e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Ruminococcaceae (OTU 63)	406	3.329979312673747e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Lachnospiraceae (OTU 73)	406	3.946027882188785e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Ruminococcaceae (OTU 80)	406	3.917667356168181e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Lachnospiraceae (OTU 97)	406	3.8979150355397616e-06	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Lachnospiraceae (OTU 125)	406	3.5016820118724646e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Lachnospiraceae (OTU 136)	406	3.875441462074094e-6	Wilcoxon signed rank test with continuity correction	two.sided	9.325086942646129e-5
Ruminococcaceae (OTU 236)	378	4.637283920168081e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.067764348797676e-4
Parabacteroides (OTU 5)	378	5.775617863510093e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 27)	378	5.668744013978784e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Clostridiales (OTU 51)	378	5.88869063816429e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 67)	378	5.8432464209702335e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 146)	378	5.7353488120867866e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 163)	378	5.257290667275829e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 179)	378	5.642279840932133e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.1495748245807678e-4
Lachnospiraceae (OTU 197)	351	6.362556425935816e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.2156543979766728e-4
Lachnospiraceae (OTU 201)	351	7.573843786302474e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4169399416874212e-4
Bacteroides (OTU 3)	351	8.715977917622452e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Porphyromonadaceae (OTU 7)	351	8.535560191807232e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Turicibacter (OTU 14)	351	8.752429727963534e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 38)	351	8.665152232504068e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 48)	351	8.600158279439167e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 98)	351	8.379309153416683e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 203)	351	8.080609616668364e-6	Wilcoxon signed rank test with continuity correction	two.sided	1.4290330719475008e-4
Lachnospiraceae (OTU 110)	325	1.2583374760074108e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.0178340240261693e-4
Pseudoflavonifractor (OTU 95)	325	1.2941556960967086e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.0388628334997268e-4
Lachnospiraceae (OTU 72)	300	1.6871777942085826e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.567941795253063e-4
Bacteria (OTU 155)	300	1.6602022434494374e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.567941795253063e-4
Ruminococcaceae (OTU 133)	300	1.8201311951193722e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.724129688695327e-4
Lachnospiraceae (OTU 143)	300	1.8528110688022434e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.7275808848924827e-4
Porphyromonadaceae (OTU 8)	300	1.9308836498008243e-5	Wilcoxon signed rank test with continuity correction	two.sided	2.7966669637437746e-4
Lachnospiraceae (OTU 35)	276	2.8098138865945748e-5	Wilcoxon signed rank test with continuity correction	two.sided	3.8641306874263436e-4
Clostridium (OTU 41)	276	2.8400069640327246e-5	Wilcoxon signed rank test with continuity correction	two.sided	3.8641306874263436e-4
Lachnospiraceae (OTU 89)	276	2.773916755968425e-5	Wilcoxon signed rank test with continuity correction	two.sided	3.8641306874263436e-4
Lachnospiraceae (OTU 205)	276	2.8248786377523938e-5	Wilcoxon signed rank test with continuity correction	two.sided	3.8641306874263436e-4
Ruminococcaceae (OTU 118)	253	4.085671874252832e-5	Wilcoxon signed rank test with continuity correction	two.sided	5.476019915043348e-4
