otu	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	Young-Schloss	Jackson-Schloss	Jackson-Young	Charles River-Schloss	Charles River-Young	Charles River-Jackson	Taconic-Schloss	Taconic-Young	Taconic-Jackson	Taconic-Charles River	Envigo-Schloss	Envigo-Young	Envigo-Jackson	Envigo-Charles River	Envigo-Taconic
Enterobacteriaceae (OTU 1)	Kruskal-Wallis rank sum test	0.8942431487952915	0.7609895162773588	0.14189810557292623	0.2216295751333456	9.196247930844216e-4	0.4908037520691558	0.005411255411255412	0.005411255411255412	0.005411255411255412	0.005411255411255412	0.005411255411255412	0.3133778780838752	0.005411255411255412	0.005411255411255412	0.3003382690715903	0.013597513597513598	0.013597513597513598	0.36963036963036966	0.18709862694501586	0.6623376623376623	0.06618835432438898
Bacteroides (OTU 2)	Kruskal-Wallis rank sum test	1.839249586168843e-4	3.678499172337686e-4	0.652657715652014	7.356998344675372e-4	3.678499172337686e-4	2.758874379253265e-4	0.8506833764052448	0.00777000777000777	0.00777000777000777	0.7684938043702436	0.7684938043702436	0.00777000777000777	0.6810490388526462	0.8838390434434805	0.012772015646887815	0.8838390434434805	0.8838390434434805	0.7684938043702436	0.008856175506345662	0.5714986476450922	0.5714986476450922
Parabacteroides (OTU 5)	Kruskal-Wallis rank sum test	0	0	2.758874379253265e-4	0.0069891484274416035	0.0034945742137208018	1.839249586168843e-4	0.6490948188467107	0.07332695087427174	0.479642941982289	0.02078224486522557	0.026430838475687078	0.06546625104844847	0.02078224486522557	0.033200397480804514	0.07306231381665704	1	0.02078224486522557	0.16005019456772052	1	0.07306231381665704	0.07306231381665704
Lactobacillus (OTU 6)	Kruskal-Wallis rank sum test	0.08699650542578628	0.22346882471951446	0	0.09564097848077985	0.07228250873643553	0.236895346698547	0.004662004662004662	0.005065223440397043	0.005065223440397043	1	0.02331002331002331	0.0066941552419220295	1	0.32051282051282054	0.0066941552419220295	1	1	1	0.005962856404669648	1	1
Proteus (OTU 16)	Kruskal-Wallis rank sum test	0	0	0	0	0.5653853227883023	0	0.16385263636393613	NA	0.14917283138279647	0.37259332118068184	0.7868399663567525	0.357842169723681	0.01167146202805666	0.01167146202805666	0.01167146202805666	0.02328188416375104	NA	0.18531163408536686	NA	0.3941568311194677	0.01167146202805666
Mucispirillum (OTU 19)	Kruskal-Wallis rank sum test	0	0	0	0.0018392495861688431	0.012322972227331249	0	1	1	1	0.010391122432612785	0.009718751231697001	0.009718751231697001	0.009718751231697001	0.009718751231697001	0.009718751231697001	0.2374278289901646	0.5235990720816717	0.4847258188341551	0.5235990720816717	0.05931266819976932	0.014154898152988718
Enterococcus (OTU 23)	Kruskal-Wallis rank sum test	0	0	0.059499724112562075	0.0069891484274416035	0.047820489240389924	0.10060695236343573	0.7772974107895215	0.008842540528424377	0.008842540528424377	0.05050505050505051	0.05050505050505051	0.19114219114219114	0.05050505050505051	0.05050505050505051	0.7758907758907758	0.287483813748377	0.009576847468371088	0.009130076254574564	0.287483813748377	0.05050505050505051	0.287483813748377
Parasutterella (OTU 26)	Kruskal-Wallis rank sum test	0	0	0.011679234872172154	0.07522530807430568	0	0	0.5379539125808087	0.009066339932350526	0.009066339932350526	0.009066339932350526	0.009066339932350526	0.0459293792627126	NA	0.5676345843167333	0.015497714860020407	0.014989915033870498	0.4963552716829019	0.9154002076734721	0.014989915033870498	0.014989915033870498	0.5427436215274987
Lactobacillus (OTU 31)	Kruskal-Wallis rank sum test	0.0016553246275519589	1.839249586168843e-4	0	0.007908773220526025	0	0.0067132609895162775	0.2261077766449812	0.02059532450106022	0.02059532450106022	0.5524506729937035	0.4802127592438352	0.04560027656834166	0.04182506152746909	0.04560027656834166	NA	0.11200880064188581	0.25190535298030026	0.10315011515573791	0.02059532450106022	0.7822520698874638	0.04560027656834166
Burkholderiales (OTU 34)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.004414199006805224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00242348739726169	0.0019501063995788902	0.0019501063995788902	0.005494110875631204	0.005494110875631204
Lactobacillus (OTU 49)	Kruskal-Wallis rank sum test	0	0	0	0.009012322972227331	0	0.008828398013610447	NA	NA	NA	0.0031196595386267802	0.0025545682488698276	0.0025545682488698276	NA	NA	NA	0.008431827206552155	0.002617366389042625	0.0025545682488698276	0.0025545682488698276	0.7922077922077921	0.007063856840097263
Betaproteobacteria (OTU 58)	Kruskal-Wallis rank sum test	0	0	0	0	0	0.032094905278646314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00242348739726169	0.0019501063995788902	0.0019501063995788902	0.005494110875631204	0.005494110875631204
Lachnospiraceae (OTU 130)	Kruskal-Wallis rank sum test	0	0	0	1.839249586168843e-4	0	0	NA	NA	NA	0.03499465943081472	0.03234202884091042	0.03234202884091042	0.3747857060114592	0.3747857060114592	0.3747857060114592	0.3747857060114592	0.38677034157109236	0.3747857060114592	0.3747857060114592	0.1306383785647951	0.8922951180849767
Ruminococcaceae (OTU 152)	Kruskal-Wallis rank sum test	0	0	0	0.0018392495861688431	0	0	NA	NA	NA	0.0062393190772535604	0.005109136497739655	0.005109136497739655	NA	NA	NA	0.013490923530483449	0.39885691474518903	0.39885691474518903	0.39885691474518903	0.013490923530483449	0.4652088184521417
