otu	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Akkermansia (OTU 15)	35.8531810766721	1.0162488606662063e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0.09122677947397462	0	1.2411381688146405e-4
Parasutterella (OTU 26)	35.25805361733381	1.3363533446187245e-6	5	Kruskal-Wallis rank sum test	0	0	0.018061430936178038	0.0018129745920807169	0	0	1.2411381688146405e-4
Bacteroides (OTU 32)	35.48845470692715	1.2019898505358018e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.027168343887122623	0	0	1.2411381688146405e-4
Burkholderiales (OTU 34)	35.48845470692715	1.2019898505358018e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.009958222759399879	1.2411381688146405e-4
Desulfovibrionaceae (OTU 192)	35.48845470692715	1.2019898505358018e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.005412648782154024	1.2411381688146405e-4
Alistipes (OTU 194)	35.48845470692715	1.2019898505358018e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.001523949657111327	0	0	1.2411381688146405e-4
Desulfovibrio (OTU 209)	35.48845470692715	1.2019898505358018e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.003599674190073307	1.2411381688146405e-4
Dorea (OTU 301)	35.78240429818671	1.0499086884265093e-6	5	Kruskal-Wallis rank sum test	0	0	0.0013610446937649438	0	0	0	1.2411381688146405e-4
Betaproteobacteria (OTU 58)	32.76279707495427	4.194393598146727e-6	5	Kruskal-Wallis rank sum test	0	0	0	0	4.5981239654221075e-5	0.006305998581150319	3.462704937136687e-4
Mucispirillum (OTU 19)	32.12170472795648	5.6204944314626185e-6	5	Kruskal-Wallis rank sum test	0	0	0	0.032108042775690376	0.062396542210778005	0.021282745211382327	4.1760273625767255e-4
Parabacteroides (OTU 5)	30.018759869459974	1.4623712974054474e-5	5	Kruskal-Wallis rank sum test	2.942799337870149e-4	1.0218053256493573e-4	3.678499172337686e-5	0.07293938358863869	0.2386426338054074	0.11400719934838015	9.548672613619812e-4
Parabacteroides (OTU 24)	29.56957862281604	1.7922980023331065e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0.029874668278199637	9.548672613619812e-4
Bacteroides (OTU 64)	29.561071839552863	1.79921152881127e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.014713996689350745	0	0	9.548672613619812e-4
Clostridiales (OTU 148)	29.716897959183633	1.676668603830588e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.0028639743556057697	0	6.30599858115032e-4	9.548672613619812e-4
Lachnospiraceae (OTU 241)	28.337025350886712	3.1272647626985136e-5	5	Kruskal-Wallis rank sum test	8.092698179142909e-4	0	0	1.0509997635250532e-4	0	0	0.0015490384791233304
Bacteroides (OTU 2)	27.517585871436058	4.521724034722705e-5	5	Kruskal-Wallis rank sum test	3.678499172337686e-5	6.130831953896143e-5	0.42729446385874564	0.04826716413988807	9.196247930844215e-5	7.882498226437898e-5	0.0016798204788994848
Lachnospiraceae (OTU 119)	27.536318017876713	4.4838263111672376e-5	5	Kruskal-Wallis rank sum test	0.002906014346146772	0.002697566059714303	0	5.254998817625266e-5	0	3.678499172337686e-4	0.0016798204788994848
Lachnospiraceae (OTU 169)	27.567693744164345	4.421053168161963e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.001681599621640085	0	3.4157492314564226e-4	0.0016798204788994848
Lachnospiraceae (OTU 216)	27.55238421955403	4.451573177759751e-5	5	Kruskal-Wallis rank sum test	9.196247930844216e-4	8.378803670324729e-4	0	0	0	0	0.0016798204788994848
Lachnospiraceae (OTU 232)	27.813376835236582	3.958722494024441e-5	5	Kruskal-Wallis rank sum test	0	0	0.002869229354423395	0	0	0	0.0016798204788994848
Lachnospiraceae (OTU 79)	27.29222782702387	5.0033221879867385e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.005202448829449013	0	0.005097348853096508	0.0017702230407972126
Lactobacillus (OTU 49)	27.0028644876974	5.696923672227587e-5	5	Kruskal-Wallis rank sum test	0	0	0	0.008066423185054784	0	0.009642922830342363	0.0019240064947568625
Turicibacter (OTU 14)	26.662402960168325	6.635843815857646e-5	5	Kruskal-Wallis rank sum test	0.008975537980503955	0.011178550262603969	0.05308074305683281	2.1019995270501064e-4	0.012920728342836123	0	0.002054346647992596
Lachnospiraceae (OTU 127)	26.726102541383064	6.449213146336135e-5	5	Kruskal-Wallis rank sum test	0.006731653485377966	0.002779310485766252	0	1.3137497044063165e-4	0	5.51774875850653e-4	0.002054346647992596
Anaerostipes (OTU 166)	26.150449497620336	8.343585214744935e-5	5	Kruskal-Wallis rank sum test	0	0	0	0	0.0030347618171785913	0	0.0024797135258221945
Lachnospiraceae (OTU 104)	25.576980955840376	1.0777184151049384e-4	5	Kruskal-Wallis rank sum test	0	0	0	8.670748049081689e-4	0	0.005360098793977771	0.0030797876247037276
Bacteria (OTU 75)	25.36265343431705	1.1857037471634916e-4	5	Kruskal-Wallis rank sum test	0.005848813684016921	2.8610549118182003e-4	0	1.839249586168843e-4	0	0	0.0032628810523795343
Lachnospiraceae (OTU 36)	24.74462935784894	1.5607569472150085e-4	5	Kruskal-Wallis rank sum test	0	0	7.356998344675372e-5	0.0037310491605139387	0.03793452271473239	0	0.004141580042074112
Lachnospiraceae (OTU 83)	23.953388001726346	2.2163675968956027e-4	5	Kruskal-Wallis rank sum test	0	0	0	0.002496124438372001	0	0	0.005489203748311442
Clostridiales (OTU 431)	24.025974025973998	2.146318347674001e-4	5	Kruskal-Wallis rank sum test	0	0	0	1.5764996452875796e-4	0	0	0.005489203748311442
Lachnospiraceae (OTU 206)	23.27510204081634	2.990396233030806e-4	5	Kruskal-Wallis rank sum test	0	0	0	6.30599858115032e-4	0.0013794371896266324	0	0.007167304519812546
Lactobacillus (OTU 31)	23.19304213645689	3.100528843031482e-4	5	Kruskal-Wallis rank sum test	0.004782048924038993	0.009768458913207856	0	0.001996899550697601	0	0.0070942484037941084	0.007199040407413722
Proteus (OTU 16)	22.801812907904274	3.683204164412277e-4	5	Kruskal-Wallis rank sum test	0	2.0436106512987143e-5	0	2.1019995270501064e-4	0.0038624241309545707	0	0.0080488843945833
Lachnospiraceae (OTU 93)	22.80239152584732	3.682267186275486e-4	5	Kruskal-Wallis rank sum test	0.006363803568144197	0.0018596856926818303	1.839249586168843e-4	1.839249586168843e-4	1.839249586168843e-4	0	0.0080488843945833
Firmicutes (OTU 196)	22.524356493840465	4.160726683627919e-4	5	Kruskal-Wallis rank sum test	0	0.0019209940122207917	0	7.8824982264379e-5	0	2.1019995270501064e-4	0.008832628359815839
Akkermansia (OTU 4)	22.29380133796257	4.603628545129326e-4	5	Kruskal-Wallis rank sum test	0.010704432591502668	0.07900598777920831	0.14202685304395807	0.0286397435560577	0.002391024462019496	0.16379831314537954	0.009244583808192134
Lachnospiraceae (OTU 167)	22.355643185756094	4.480456748341108e-4	5	Kruskal-Wallis rank sum test	0.006363803568144198	4.904665563116914e-4	0	4.203999054100213e-4	0	0	0.009244583808192134
Lachnospiraceae (OTU 221)	22.182394970604655	4.834008648551615e-4	5	Kruskal-Wallis rank sum test	0.0015081846606584514	0.0013079108168311774	3.678499172337686e-5	0	4.5981239654221075e-5	5.254998817625266e-5	0.0094517590154575
