otu	statistic	p.value	method	alternative	-1	0	p.value.adj
Parabacteroides (OTU 5)	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	0.07501072895591931	0.03586536693029244	0.13574218749999997
Lactobacillus (OTU 6)	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	0.047667218441542515	0.09130034945742138	0.13574218749999997
Parasutterella (OTU 26)	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	7.050456746980565e-4	0.07003862424130955	0.13574218749999997
Lactobacillus (OTU 49)	66	9.765624999999999e-4	Wilcoxon signed rank test	two.sided	0.016737171234136473	0.012249402243884495	0.13574218749999997
Enterobacteriaceae (OTU 1)	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	3.371957574642879e-4	0.23089939304763657	0.28803838047665287
Bacteroides (OTU 2)	55	0.005889270041817481	Wilcoxon signed rank test with continuity correction	two.sided	0.049169272270247075	0.005002758874379253	0.28803838047665287
Bacteroides (OTU 3)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.1018944270737539	0	0.28803838047665287
Akkermansia (OTU 4)	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.011219422475629943	2.2070995034026116e-4	0.28803838047665287
Porphyromonadaceae (OTU 7)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	0.002513641101097419	1.1035497517013058e-4	0.28803838047665287
Lachnospiraceae (OTU 9)	28	0.022494271222449663	Wilcoxon signed rank test with continuity correction	two.sided	0.011280730795168904	3.678499172337686e-5	0.28803838047665287
Bacteroides (OTU 12)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.18144197167555637	0	0.28803838047665287
Lachnospiraceae (OTU 13)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.012261663907792288	0	0.28803838047665287
Turicibacter (OTU 14)	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.0015020538287045552	0	0.28803838047665287
Lachnospiraceae (OTU 17)	55	0.0059215370241487075	Wilcoxon signed rank test with continuity correction	two.sided	0.006038869474587701	0.007798418245355895	0.28803838047665287
Mucispirillum (OTU 19)	66	0.0038398001324249967	Wilcoxon signed rank test with continuity correction	two.sided	0.004046349089571455	0.009931947765311753	0.28803838047665287
Enterococcus (OTU 23)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	9.196247930844215e-5	0.023137759794004047	0.28803838047665287
Lachnospiraceae (OTU 27)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.00637606523205199	7.356998344675372e-5	0.28803838047665287
Lachnospiraceae (OTU 28)	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	0.0016859787873214395	3.678499172337686e-5	0.28803838047665287
Bacteroides (OTU 32)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.021672490957022866	0	0.28803838047665287
Lachnospiraceae (OTU 33)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.005149898841272761	0	0.28803838047665287
Lachnospiraceae (OTU 36)	21	0.0355223366234146	Wilcoxon signed rank test with continuity correction	two.sided	0.0013794371896266324	0	0.28803838047665287
Ruminococcaceae (OTU 37)	36	0.014266186701446927	Wilcoxon signed rank test with continuity correction	two.sided	0.004414199006805224	1.1035497517013058e-4	0.28803838047665287
Lachnospiraceae (OTU 38)	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.0037091533321071666	0	0.28803838047665287
Bacteroides (OTU 39)	21	0.036031686218233556	Wilcoxon signed rank test with continuity correction	two.sided	0.02565753172705536	0	0.28803838047665287
Oscillibacter (OTU 40)	21	0.03501498101966251	Wilcoxon signed rank test with continuity correction	two.sided	0.002176445343633131	0	0.28803838047665287
Clostridium (OTU 41)	15	0.0579072654172973	Wilcoxon signed rank test with continuity correction	two.sided	3.9850407700324936e-4	0	0.28803838047665287
Lachnospiraceae (OTU 42)	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.0030960701367175525	0	0.28803838047665287
Clostridium (OTU 43)	36	0.013793700808621004	Wilcoxon signed rank test with continuity correction	two.sided	3.678499172337686e-4	0.025675924222917052	0.28803838047665287
Lachnospiraceae (OTU 44)	28	0.022254124823099145	Wilcoxon signed rank test with continuity correction	two.sided	0.0019925203850162465	1.103549751701306e-4	0.28803838047665287
