otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0008	12.209302325581385	0.002232459999367544	2	Kruskal-Wallis rank sum test	0.01689482119866523	0	0	0.06771795331414883
Otu0020	17.505126452494885	1.5805567299918518e-4	2	Kruskal-Wallis rank sum test	2.627499408812633e-5	0	0.08600790877322052	0.06771795331414883
Otu0023	14.0500943717318	8.893255550187576e-4	2	Kruskal-Wallis rank sum test	0.005097348853096508	0.13665624425234504	0.040486481515541656	0.06771795331414883
Otu0025	16.00444036135354	3.347186664283033e-4	2	Kruskal-Wallis rank sum test	0.0316350928821041	6.130831953896143e-5	0	0.06771795331414883
Otu0037	12.209302325581385	0.002232459999367544	2	Kruskal-Wallis rank sum test	0.001970624556609475	0	0	0.06771795331414883
Otu0047	12.209302325581385	0.002232459999367544	2	Kruskal-Wallis rank sum test	0.0014451246748469482	0	0	0.06771795331414883
Otu0050	12.237762237762228	0.0022009171505416314	2	Kruskal-Wallis rank sum test	8.670748049081689e-4	0	0	0.06771795331414883
Otu0070	12.22351571594877	0.0022166508286578677	2	Kruskal-Wallis rank sum test	0.001261199716230064	0	0	0.06771795331414883
Otu0080	12.209302325581385	0.002232459999367544	2	Kruskal-Wallis rank sum test	0.0016027746393757062	0	0	0.06771795331414883
Otu0122	12.266355140186908	0.0021696756989352086	2	Kruskal-Wallis rank sum test	7.619748285556635e-4	0	0	0.06771795331414883
Otu0125	12.22351571594877	0.0022166508286578677	2	Kruskal-Wallis rank sum test	7.356998344675372e-4	0	0	0.06771795331414883
Otu0156	12.266355140186908	0.0021696756989352086	2	Kruskal-Wallis rank sum test	4.992248876744003e-4	0	0	0.06771795331414883
Otu0192	12.209302325581385	0.002232459999367544	2	Kruskal-Wallis rank sum test	0.002391024462019496	0	0	0.06771795331414883
Otu0237	12.22351571594877	0.0022166508286578677	2	Kruskal-Wallis rank sum test	3.9412491132189494e-4	0	0	0.06771795331414883
Otu0278	12.237762237762228	0.0022009171505416314	2	Kruskal-Wallis rank sum test	8.933497989962952e-4	0	0	0.06771795331414883
Otu0280	12.22351571594877	0.0022166508286578677	2	Kruskal-Wallis rank sum test	4.466748994981476e-4	0	0	0.06771795331414883
Otu0292	12.266355140186908	0.0021696756989352086	2	Kruskal-Wallis rank sum test	6.305998581150319e-4	0	0	0.06771795331414883
Otu0354	12.280701754385955	0.0021541676373833317	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.06771795331414883
Otu0013	11.927419354838714	0.0025703590609053224	2	Kruskal-Wallis rank sum test	0.003520849207808928	0	1.149530991355527e-4	0.07386400248706873
Otu0007	11.749052562201364	0.002810125088629711	2	Kruskal-Wallis rank sum test	0.10289287684910271	1.2261663907792286e-4	1.6093433878977377e-4	0.07671641491959111
Otu0022	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.028902493496938964	0	0	0.08636792881704286
Otu0024	9.94318181818181	0.0069321108992856165	2	Kruskal-Wallis rank sum test	0.03720539162878688	0	0.07780025749494207	0.08636792881704286
Otu0042	9.294605809128623	0.00958742529184925	2	Kruskal-Wallis rank sum test	0.0013400246984944428	0	0	0.08636792881704286
Otu0052	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.03418376730865236	0	0	0.08636792881704286
Otu0055	9.741656908665114	0.007667010887706063	2	Kruskal-Wallis rank sum test	0.0010247247694369268	0	2.2990619827110538e-5	0.08636792881704286
Otu0061	9.445315920035004	0.008891513824186468	2	Kruskal-Wallis rank sum test	0.0021808245093144856	0	2.758874379253265e-4	0.08636792881704286
Otu0066	10.117100009738056	0.006354767217256103	2	Kruskal-Wallis rank sum test	0.0011823747339656848	3.0654159769480714e-5	0	0.08636792881704286
Otu0068	10.250728862973755	0.005944050762451097	2	Kruskal-Wallis rank sum test	0.0016027746393757062	0	4.5981239654221075e-5	0.08636792881704286
Otu0073	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.0013925746866706955	0	0	0.08636792881704286
Otu0081	9.281767955801095	0.009649164208497462	2	Kruskal-Wallis rank sum test	0.012533172180036259	0	0	0.08636792881704286
