otu	statistic	p.value	parameter	method	-1	0	1	p.value.adj
Otu0037	19.285714285714278	6.488739708550802e-5	2	Kruskal-Wallis rank sum test	0.003985040770032494	0	0	0.0024101033203188693
Otu0051	19.285714285714278	6.488739708550802e-5	2	Kruskal-Wallis rank sum test	0.008276623137759793	0	0	0.0024101033203188693
Otu0070	19.285714285714278	6.488739708550802e-5	2	Kruskal-Wallis rank sum test	0.0022377536631720926	0	0	0.0024101033203188693
Otu0098	19.30541368743615	6.425141290328852e-5	2	Kruskal-Wallis rank sum test	0.0015327079884740358	0	0	0.0024101033203188693
Otu0111	19.285714285714278	6.488739708550802e-5	2	Kruskal-Wallis rank sum test	0.002207099503402612	0	0	0.0024101033203188693
Otu0113	19.285714285714278	6.488739708550802e-5	2	Kruskal-Wallis rank sum test	0.002237753663172092	0	0	0.0024101033203188693
Otu0136	19.364754098360645	6.237306358023627e-5	2	Kruskal-Wallis rank sum test	3.985040770032493e-4	0	0	0.0024101033203188693
Otu0020	18.571428571428577	9.273966551400908e-5	2	Kruskal-Wallis rank sum test	0	0	0.05464870332904175	0.003014039129205295
Otu0001	17.843137254901965	1.3347870213089804e-4	2	Kruskal-Wallis rank sum test	2.758874379253265e-4	0.8783467773719751	0.5300257494942063	0.0033030738320377504
Otu0042	17.57735352205399	1.524495614786654e-4	2	Kruskal-Wallis rank sum test	0.002697566059714303	2.627499408812633e-5	0	0.0033030738320377504
Otu0078	17.658730158730165	1.4637114404751628e-4	2	Kruskal-Wallis rank sum test	6.743915149285758e-4	2.627499408812633e-5	0	0.0033030738320377504
Otu0167	17.57735352205399	1.524495614786654e-4	2	Kruskal-Wallis rank sum test	0.00214579118386365	5.254998817625266e-5	0	0.0033030738320377504
Otu0041	17.230056229133737	1.813597165704747e-4	2	Kruskal-Wallis rank sum test	0.0031267242964870333	2.627499408812633e-5	0	0.003368109022023102
Otu0097	17.24596579167218	1.799227625987332e-4	2	Kruskal-Wallis rank sum test	9.196247930844216e-4	2.627499408812633e-5	0	0.003368109022023102
Otu0061	16.886959876543212	2.1529961575924496e-4	2	Kruskal-Wallis rank sum test	6.437373551590951e-4	0	2.2990619827110538e-5	0.0035260527855454616
Otu0066	16.8713382670367	2.1698786372587457e-4	2	Kruskal-Wallis rank sum test	0.0010422414321623445	0	2.2990619827110538e-5	0.0035260527855454616
Otu0122	16.462329532752076	2.662260584293193e-4	2	Kruskal-Wallis rank sum test	3.678499172337686e-4	2.627499408812633e-5	0	0.0038454875106457235
Otu0123	16.527777777777782	2.576550485211522e-4	2	Kruskal-Wallis rank sum test	7.356998344675372e-4	0	4.5981239654221075e-5	0.0038454875106457235
Otu0048	15.261627906976731	4.8526571382702394e-4	2	Kruskal-Wallis rank sum test	0.002207099503402612	0	0	0.004069970503065362
Otu0055	15.279394644935962	4.809740100550304e-4	2	Kruskal-Wallis rank sum test	7.663539942370179e-4	0	0	0.004069970503065362
Otu0077	15.279394644935962	4.809740100550304e-4	2	Kruskal-Wallis rank sum test	0.0011342039114707865	0	0	0.004069970503065362
Otu0084	15.279394644935962	4.809740100550304e-4	2	Kruskal-Wallis rank sum test	3.9850407700324936e-4	0	0	0.004069970503065362
Otu0086	15.279394644935962	4.809740100550304e-4	2	Kruskal-Wallis rank sum test	4.2915823677273e-4	0	0	0.004069970503065362
Otu0107	15.261627906976731	4.8526571382702394e-4	2	Kruskal-Wallis rank sum test	5.211207160811722e-4	0	0	0.004069970503065362
Otu0117	15.297202797202786	4.767103908156513e-4	2	Kruskal-Wallis rank sum test	4.904665563116915e-4	0	0	0.004069970503065362
Otu0119	15.297202797202786	4.767103908156513e-4	2	Kruskal-Wallis rank sum test	8.889706333149408e-4	0	0	0.004069970503065362
Otu0146	15.297202797202786	4.767103908156513e-4	2	Kruskal-Wallis rank sum test	6.437373551590951e-4	0	0	0.004069970503065362
Otu0156	15.420120266536651	4.482945189090481e-4	2	Kruskal-Wallis rank sum test	9.196247930844216e-4	2.627499408812633e-5	2.2990619827110538e-5	0.004069970503065362
Otu0181	15.261627906976731	4.8526571382702394e-4	2	Kruskal-Wallis rank sum test	9.196247930844216e-4	0	0	0.004069970503065362
Otu0221	15.279394644935962	4.809740100550304e-4	2	Kruskal-Wallis rank sum test	5.51774875850653e-4	0	0	0.004069970503065362
Otu0236	15.441176470588223	4.435995862074295e-4	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.004069970503065362
Otu0006	14.526901669758814	7.006859074589781e-4	2	Kruskal-Wallis rank sum test	0.02084482864324689	0.0820305315431304	0.13704708478940592	0.005520555634525282
Otu0009	14.55540037243948	6.907723861479937e-4	2	Kruskal-Wallis rank sum test	0.02427809453742873	2.627499408812633e-5	6.207467353319845e-4	0.005520555634525282
Otu0046	14.10239361702127	8.663714558538193e-4	2	Kruskal-Wallis rank sum test	0.0016859787873214397	1.57649964528758e-4	0.011426338054073937	0.006625193485940971
Otu0017	13.237123420796912	0.001335350185357238	2	Kruskal-Wallis rank sum test	0.00383176997118509	5.254998817625266e-5	0	0.00938354184305086
Otu0022	13.237123420796912	0.001335350185357238	2	Kruskal-Wallis rank sum test	0.1532401446876341	2.627499408812633e-5	0	0.00938354184305086
Otu0127	13.29137392661985	0.00129961532349122	2	Kruskal-Wallis rank sum test	0.002636257740175342	2.627499408812633e-5	0	0.00938354184305086
Otu0008	12.917207792207808	0.0015669818534683883	2	Kruskal-Wallis rank sum test	0.14067193918214702	7.356998344675372e-4	0.0066212985102078355	0.010721454786888972
Otu0125	12.152777777777782	0.0022964544500850828	2	Kruskal-Wallis rank sum test	2.758874379253265e-4	0	2.2990619827110538e-5	0.015309696333900552
Otu0050	12.021832718327191	0.0024518403842731106	2	Kruskal-Wallis rank sum test	0.0026669118999448223	0	4.5981239654221075e-5	0.015417547439938478
Otu0080	11.618257261410784	0.0030000430791352044	2	Kruskal-Wallis rank sum test	5.824290356201337e-4	0	0	0.015417547439938478
Otu0092	11.695740275758789	0.0028860394829176464	2	Kruskal-Wallis rank sum test	0.0012568205505487093	5.254998817625266e-5	0	0.015417547439938478
Otu0116	11.666666666666663	0.002928299694818194	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.015417547439938478
Otu0126	11.602209944751378	0.003024211228603317	2	Kruskal-Wallis rank sum test	0.0010115872723928637	0	0	0.015417547439938478
Otu0133	11.618257261410784	0.0030000430791352044	2	Kruskal-Wallis rank sum test	3.678499172337686e-4	0	0	0.015417547439938478
Otu0155	11.666666666666663	0.002928299694818194	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.015417547439938478
Otu0205	11.618257261410784	0.0030000430791352044	2	Kruskal-Wallis rank sum test	4.598123965422108e-4	0	0	0.015417547439938478
Otu0241	11.602209944751378	0.003024211228603317	2	Kruskal-Wallis rank sum test	6.130831953896144e-4	0	0	0.015417547439938478
Otu0300	11.764705882352938	0.002788217040049426	2	Kruskal-Wallis rank sum test	1.2261663907792286e-4	0	0	0.015417547439938478
Otu0356	11.634349030470911	0.00297600192480551	2	Kruskal-Wallis rank sum test	1.839249586168843e-4	0	0	0.015417547439938478
Otu0437	11.618257261410784	0.0030000430791352044	2	Kruskal-Wallis rank sum test	2.758874379253265e-4	0	0	0.015417547439938478
Otu0044	11.037681084078464	0.0040104952480338055	2	Kruskal-Wallis rank sum test	0.006284102752743547	7.8824982264379e-5	0.002689902519771933	0.020052476240169027
Otu0004	10.500794721125128	0.005245433656542904	2	Kruskal-Wallis rank sum test	0.016062779719207897	2.627499408812633e-4	0.1228158911164245	0.02573231605096519
Otu0013	9.933439829605968	0.006965959543228886	2	Kruskal-Wallis rank sum test	0.02007847464900987	2.627499408812633e-5	1.1495309913555268e-4	0.03353980520813908
Otu0003	9.763969396659185	0.0075819511990568526	2	Kruskal-Wallis rank sum test	0.1052357304886273	6.568748522031582e-4	0.08876678315247379	0.03526617264245598
