id,vendor,cage,mouse,day,experiment,count1,dilution1,count2,dilution2,weight,
S11Dn1E2,Schloss,1,1,-1,2,NA,NA,NA,NA,19.2,
S12Dn1E2,Schloss,1,2,-1,2,NA,NA,NA,NA,16.5,
S21Dn1E2,Schloss,2,1,-1,2,NA,NA,NA,NA,18.1,
S22Dn2E2,Schloss,2,2,-1,2,NA,NA,NA,NA,17.7,
Y11Dn1E2,Young,1,1,-1,2,NA,NA,NA,NA,19.4,
Y12Dn1E2,Young,1,2,-1,2,NA,NA,NA,NA,18.9,
Y21Dn1E2,Young,2,1,-1,2,NA,NA,NA,NA,19.2,
Y22Dn1E2,Young,2,2,-1,2,NA,NA,NA,NA,18.4,
J11Dn1E2,Jackson,1,1,-1,2,NA,NA,NA,NA,18.1,
J12Dn1E2,Jackson,1,2,-1,2,NA,NA,NA,NA,17.7,
J21Dn1E2,Jackson,2,1,-1,2,NA,NA,NA,NA,17.5,
J22Dn1E2,Jackson,2,2,-1,2,NA,NA,NA,NA,16.7,
C11Dn1E2,Charles River,1,1,-1,2,NA,NA,NA,NA,18.7,
C12Dn1E2,Charles River,1,2,-1,2,NA,NA,NA,NA,16.9,
C21Dn1E2,Charles River,2,1,-1,2,NA,NA,NA,NA,17.6,
C22Dn1E2,Charles River,2,2,-1,2,NA,NA,NA,NA,18.9,
T11Dn1E2,Taconic,1,1,-1,2,NA,NA,NA,NA,17.9,
T12Dn1E2,Taconic,1,2,-1,2,NA,NA,NA,NA,17.5,
T21Dn1E2,Taconic,2,1,-1,2,NA,NA,NA,NA,17.9,
T22Dn1E2,Taconic,2,2,-1,2,NA,NA,NA,NA,21.8,
E11Dn1E2,Envigo,1,1,-1,2,NA,NA,NA,NA,18.7,
E12Dn1E2,Envigo,1,2,-1,2,NA,NA,NA,NA,21.5,
E21Dn1E2,Envigo,2,1,-1,2,NA,NA,NA,NA,20.1,
E22Dn1E2,Envigo,2,2,-1,2,NA,NA,NA,NA,18.2,
S11D0E2,Schloss,1,1,0,2,0,-1,NA,NA,18.2,
S12D0E2,Schloss,1,2,0,2,0,-1,NA,NA,16,
S21D0E2,Schloss,2,1,0,2,0,-1,NA,NA,17.7,
S22D0E2,Schloss,2,2,0,2,0,-1,NA,NA,17.6,
Y11D0E2,Young,1,1,0,2,0,-1,NA,NA,19.2,
Y12D0E2,Young,1,2,0,2,0,-1,NA,NA,18.8,
Y21D0E2,Young,2,1,0,2,0,-1,NA,NA,18.9,
Y22D0E2,Young,2,2,0,2,0,-1,NA,NA,18,
J11D0E2,Jackson,1,1,0,2,0,-1,NA,NA,18.3,
J12D0E2,Jackson,1,2,0,2,0,-1,NA,NA,17.9,
J21D0E2,Jackson,2,1,0,2,0,-1,NA,NA,17.5,
J22D0E2,Jackson,2,2,0,2,0,-1,NA,NA,16.8,
C11D0E2,Charles River,1,1,0,2,0,-1,NA,NA,18.1,
C12D0E2,Charles River,1,2,0,2,0,-1,NA,NA,16.3,
C21D0E2,Charles River,2,1,0,2,0,-1,NA,NA,16.8,
C22D0E2,Charles River,2,2,0,2,0,-1,NA,NA,18.1,
T11D0E2,Taconic,1,1,0,2,0,-1,NA,NA,17.2,
T12D0E2,Taconic,1,2,0,2,0,-1,NA,NA,17.8,
T21D0E2,Taconic,2,1,0,2,0,-1,NA,NA,17.6,
T22D0E2,Taconic,2,2,0,2,0,-1,NA,NA,21.3,
E11D0E2,Envigo,1,1,0,2,0,-1,NA,NA,NA,
E12D0E2,Envigo,1,2,0,2,0,-1,NA,NA,17.5,
E21D0E2,Envigo,2,1,0,2,0,-1,NA,NA,19.9,
E22D0E2,Envigo,2,2,0,2,0,-1,NA,NA,18.7,
S11D1E2,Schloss,1,1,1,2,13,-5,2,-6,18,
S12D1E2,Schloss,1,2,1,2,43,-5,12,-6,16.4,
S21D1E2,Schloss,2,1,1,2,14,-5,3,-6,17.6,
S22D1E2,Schloss,2,2,1,2,32,-5,5,-6,17.5,
Y11D1E2,Young,1,1,1,2,35,-5,4,-6,19.2,
Y12D1E2,Young,1,2,1,2,13,-5,4,-6,19.1,
Y21D0E2,Young,2,1,1,2,24,-5,1,-6,18.7,
Y22D1E2,Young,2,2,1,2,50,-5,12,-6,18.2,
J11D1E2,Jackson,1,1,1,2,NA,-5,17,-6,18.4,
J12D1E2,Jackson,1,2,1,2,26,-5,10,-6,17.7,
J21D1E2,Jackson,2,1,1,2,NA,-5,NA,-6,16.6,
J22D1E2,Jackson,2,2,1,2,44,-5,14,-6,16.8,
C11D0E2,Charles River,1,1,1,2,0,-5,0,-6,18.8,
C12D1E2,Charles River,1,2,1,2,20,-5,2,-6,16.2,
C21D1E2,Charles River,2,1,1,2,15,-5,4,-6,16.9,
C22D1E2,Charles River,2,2,1,2,13,-5,0,-6,17.9,
T11D1E2,Taconic,1,1,1,2,3,-5,0,-6,17,
T12D1E2,Taconic,1,2,1,2,16,-5,3,-6,18.1,
T21D1E2,Taconic,2,1,1,2,NA,-5,6,-6,17.7,
T22D1E2,Taconic,2,2,1,2,11,-5,2,-6,21.4,
E11D1E2,Envigo,1,1,1,2,12,-5,1,-6,17.7,
E12D1E2,Envigo,1,2,1,2,35,-5,4,-6,19.7,
E21D1E2,Envigo,2,1,1,2,3,-5,0,-6,19.2,
E22D1E2,Envigo,2,2,1,2,9,-5,1,-6,17.2,
S11D2E2,Schloss,1,1,2,2,0,-5,0,-6,18.6,
S12D2E2,Schloss,1,2,2,2,NA,-5,NA,-6,16.4,
S21D2E2,Schloss,2,1,2,2,0,-5,0,-6,17.4,
S22D2E2,Schloss,2,2,2,2,0,-5,0,-6,18.3,
Y11D2E2,Young,1,1,2,2,NA,-5,NA,-6,18.9,
Y12D2E2,Young,1,2,2,2,NA,-5,NA,-6,16.8,
Y21D2E2,Young,2,1,2,2,0,-5,0,-6,19,
Y22D2E2,Young,2,2,2,2,7,-5,3,-6,18.5,
J11D2E2,Jackson,1,1,2,2,NA,-5,NA,-6,15.9,
J12D2E2,Jackson,1,2,2,2,NA,-5,NA,-6,16.1,
J21D2E2,Jackson,2,1,2,2,NA,-5,NA,-6,NA,
J22D2E2,Jackson,2,2,2,2,NA,-5,NA,-6,15.4,
C11D2E2,Charles River,1,1,2,2,0,-5,0,-6,18.9,
C12D2E2,Charles River,1,2,2,2,9,-5,8,-6,16.3,
C21D2E2,Charles River,2,1,2,2,1,-5,0,-6,18,
C22D2E2,Charles River,2,2,2,2,0,-5,0,-6,19,
T11D2E2,Taconic,1,1,2,2,NA,-5,NA,-6,16.1,
T12D2E2,Taconic,1,2,2,2,NA,-5,NA,-6,15.6,
T21D2E2,Taconic,2,1,2,2,NA,-5,NA,-6,16.7,
